GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stockx,edu.pingpong.domain.criteria,MinAsk,1,44,1,1,0,8,1,4,0,4
stockx,edu.pingpong.domain.criteria,MaxBid,1,44,1,1,0,8,1,4,0,4
stockx,edu.pingpong.domain.criteria,Bids,1,29,1,1,0,6,1,4,0,4
stockx,edu.pingpong.domain.criteria,Sales,1,28,1,1,0,6,1,4,0,4
stockx,edu.pingpong.domain.criteria,LastSale,42,0,2,0,7,0,5,0,4,0
stockx,edu.pingpong.domain.criteria,Asks,1,28,1,1,0,6,1,4,0,4
stockx,edu.pingpong.domain.criteria,Min,1,37,1,1,0,7,1,4,0,4
stockx,edu.pingpong.main,Stockx,274,0,6,0,49,0,6,0,3,0
stockx,edu.pingpong.domain.item,Ask,0,29,0,0,0,9,0,4,0,4
stockx,edu.pingpong.domain.item,Sneaker,18,50,0,0,8,17,5,7,5,7
stockx,edu.pingpong.domain.item,Sale,0,29,0,0,0,9,0,4,0,4
stockx,edu.pingpong.domain.item,Bid,0,29,0,0,0,9,0,4,0,4
